date,acwi
2017-09,130094.94822797955
2017-10,134247.18830398677
2017-11,134671.40228921262
2017-12,136378.73303775783
2018-01,137462.3216447684
2018-02,135135.3461668202
2018-03,129802.01673715001
2018-04,134460.16260739884
2018-05,138677.81759323867
2018-06,139928.15076284675
2018-07,144229.2832995877
2018-08,147341.81458735827
2018-09,147325.6192182947
2018-10,139649.67230348734
2018-11,141556.5657030389
2018-12,131161.67293849052
2019-01,138132.91225467407
2019-02,139943.3984863857
2019-03,144066.2758867129
2019-04,149959.5931048972
2019-05,146063.90091112294
2019-06,154217.98382155146
2019-07,161366.41140921888
2019-08,157415.59080826756
2019-09,159386.34062841636
2019-10,155493.36615279503
2019-11,160145.29582369988
2019-12,161855.2693243653
2020-01,161013.55475298606
2020-02,151101.60541019845
2020-03,136156.4053500277
2020-04,148941.7053071147
2020-05,157441.48845910528
2020-06,163713.07915682753
2020-07,160851.22864398055
2020-08,168598.21889177512
2020-09,169486.91352822562
2020-10,163686.06962685843
2020-11,178871.0083067901
2020-12,182919.33344543507
2021-01,181044.01276789588
2021-02,182729.11191612657
2021-03,189936.00052878255
2021-04,196194.83186069777
2021-05,195477.47446589035
2021-06,202910.55440426862
2021-07,202664.22063211352
2021-08,210603.3360298061
2021-09,206869.91215889188
2021-10,212321.91576462518
2021-11,214134.89495381864
2021-12,220492.1258268487
2022-01,210682.9702777853
2022-02,205492.85848744557
2022-03,214569.98475348242
2022-04,206297.37807332794
2022-05,206328.6422259397
2022-06,196515.09398209676
2022-07,209637.64357701488
2022-08,211017.0051204177
2022-09,200995.99837571158
2022-10,204420.72232167594
2022-11,211469.90835454848
2022-12,202747.2413898195
2023-01,212484.33314031307
2023-02,209740.3634345558
2023-03,211787.4072288049
2023-04,213172.0028326889
2023-05,212874.9908710744
2023-06,220054.48433777245
2023-07,224760.74993726294
2023-08,221565.14161019694
2023-09,219859.1968849373
2023-10,215030.5265167692
2023-11,225664.84161636117
2023-12,235490.67270535088
2024-01,237492.45154107822
2024-02,248661.70269706426
2024-03,256527.5924598206
2024-04,250233.2747629346
2024-05,256996.88194906802
2024-06,264153.48220482655
2024-07,264627.52789434115
2024-08,264451.2373891564
2024-09,266535.3817740206
2024-10,268521.69750261895
2024-11,284459.14184828085
2024-12,282300.2486921554
2025-01,293057.7380884051
2025-02,287683.6951559475
2025-03,269024.13918177725
2025-04,263103.196366685
2025-05,275126.80360547936
2025-06,282753.33312840987
2025-07,297154.0970415747
2025-08,298394.58059943875
2025-09,310370.14808777097
2025-10,326062.9814505103
2025-11,321889.07515398983
2025-12,320444.2506495913
2026-01,323338.94519083295
2026-02,333825.76048063475
2026-03,314627.80152146786
2026-04,339659.88436210324
2026-05,359458.4569609379
